year,district,species_name_raw,species_key,landing_qty_tonnes
2022-23,TVPM,Elasmobranchs,shark_ray,444.0
2022-23,KLM,Elasmobranchs,shark_ray,258.0
2022-23,ALP,Elasmobranchs,shark_ray,5.0
2022-23,EKM,Elasmobranchs,shark_ray,3277.0
2022-23,TCR,Elasmobranchs,shark_ray,15.0
2022-23,MLPM,Elasmobranchs,shark_ray,56.0
2022-23,KKD,Elasmobranchs,shark_ray,117.0
2022-23,KNR,Elasmobranchs,shark_ray,22.0
2022-23,KSD,Elasmobranchs,shark_ray,18.0
2022-23,TVPM,Eels,,1.0
2022-23,KLM,Eels,,1.0
2022-23,ALP,Eels,,0.0
2022-23,EKM,Eels,,858.0
2022-23,TCR,Eels,,0.0
2022-23,MLPM,Eels,,7.0
2022-23,KKD,Eels,,97.0
2022-23,KNR,Eels,,0.0
2022-23,KSD,Eels,,0.0
2022-23,TVPM,Cat Fish,cat_fish,12.0
2022-23,KLM,Cat Fish,cat_fish,5.0
2022-23,ALP,Cat Fish,cat_fish,5.0
2022-23,EKM,Cat Fish,cat_fish,137.0
2022-23,TCR,Cat Fish,cat_fish,4.0
2022-23,MLPM,Cat Fish,cat_fish,0.0
2022-23,KKD,Cat Fish,cat_fish,149.0
2022-23,KNR,Cat Fish,cat_fish,9.0
2022-23,KSD,Cat Fish,cat_fish,3.0
2022-23,TVPM,Chirocentrius,,59.0
2022-23,KLM,Chirocentrius,,38.0
2022-23,ALP,Chirocentrius,,6.0
2022-23,EKM,Chirocentrius,,82.0
2022-23,TCR,Chirocentrius,,0.0
2022-23,MLPM,Chirocentrius,,22.0
2022-23,KKD,Chirocentrius,,53.0
2022-23,KNR,Chirocentrius,,2.0
2022-23,KSD,Chirocentrius,,0.0
2022-23,TVPM,Oil Sardines,oil_sardine,1740.0
2022-23,KLM,Oil Sardines,oil_sardine,14038.0
2022-23,ALP,Oil Sardines,oil_sardine,15562.0
2022-23,EKM,Oil Sardines,oil_sardine,23635.0
2022-23,TCR,Oil Sardines,oil_sardine,14260.0
2022-23,MLPM,Oil Sardines,oil_sardine,4037.0
2022-23,KKD,Oil Sardines,oil_sardine,20515.0
2022-23,KNR,Oil Sardines,oil_sardine,38250.0
2022-23,KSD,Oil Sardines,oil_sardine,4909.0
2022-23,TVPM,Lesser Sardines,lesser_sardines,4640.0
2022-23,KLM,Lesser Sardines,lesser_sardines,6068.0
2022-23,ALP,Lesser Sardines,lesser_sardines,2173.0
2022-23,EKM,Lesser Sardines,lesser_sardines,142.0
2022-23,TCR,Lesser Sardines,lesser_sardines,251.0
2022-23,MLPM,Lesser Sardines,lesser_sardines,1767.0
2022-23,KKD,Lesser Sardines,lesser_sardines,870.0
2022-23,KNR,Lesser Sardines,lesser_sardines,2.0
2022-23,KSD,Lesser Sardines,lesser_sardines,0.0
2022-23,TVPM,Hilsa Ilisha,,0.0
2022-23,KLM,Hilsa Ilisha,,0.0
2022-23,ALP,Hilsa Ilisha,,0.0
2022-23,EKM,Hilsa Ilisha,,0.0
2022-23,TCR,Hilsa Ilisha,,0.0
2022-23,MLPM,Hilsa Ilisha,,0.0
2022-23,KKD,Hilsa Ilisha,,0.0
2022-23,KNR,Hilsa Ilisha,,0.0
2022-23,KSD,Hilsa Ilisha,,0.0
2022-23,TVPM,Other Hilsa,,2.0
2022-23,KLM,Other Hilsa,,24.0
2022-23,ALP,Other Hilsa,,5.0
2022-23,EKM,Other Hilsa,,112.0
2022-23,TCR,Other Hilsa,,16.0
2022-23,MLPM,Other Hilsa,,0.0
2022-23,KKD,Other Hilsa,,361.0
2022-23,KNR,Other Hilsa,,71.0
2022-23,KSD,Other Hilsa,,10.0
2022-23,TVPM,Anchovilla,anchovy,5926.0
2022-23,KLM,Anchovilla,anchovy,15142.0
2022-23,ALP,Anchovilla,anchovy,5379.0
2022-23,EKM,Anchovilla,anchovy,4987.0
2022-23,TCR,Anchovilla,anchovy,402.0
2022-23,MLPM,Anchovilla,anchovy,2019.0
2022-23,KKD,Anchovilla,anchovy,10627.0
2022-23,KNR,Anchovilla,anchovy,270.0
2022-23,KSD,Anchovilla,anchovy,34.0
2022-23,TVPM,Trisocles,,34.0
2022-23,KLM,Trisocles,,598.0
2022-23,ALP,Trisocles,,236.0
2022-23,EKM,Trisocles,,714.0
2022-23,TCR,Trisocles,,206.0
2022-23,MLPM,Trisocles,,497.0
2022-23,KKD,Trisocles,,451.0
2022-23,KNR,Trisocles,,122.0
2022-23,KSD,Trisocles,,4.0
2022-23,TVPM,Other Clupeids,,99.0
2022-23,KLM,Other Clupeids,,309.0
2022-23,ALP,Other Clupeids,,238.0
2022-23,EKM,Other Clupeids,,314.0
2022-23,TCR,Other Clupeids,,74.0
2022-23,MLPM,Other Clupeids,,69.0
2022-23,KKD,Other Clupeids,,969.0
2022-23,KNR,Other Clupeids,,429.0
2022-23,KSD,Other Clupeids,,296.0
2022-23,TVPM,Harpodon Nehereus,,0.0
2022-23,KLM,Harpodon Nehereus,,0.0
2022-23,ALP,Harpodon Nehereus,,0.0
2022-23,EKM,Harpodon Nehereus,,0.0
2022-23,TCR,Harpodon Nehereus,,0.0
2022-23,MLPM,Harpodon Nehereus,,0.0
2022-23,KKD,Harpodon Nehereus,,0.0
2022-23,KNR,Harpodon Nehereus,,0.0
2022-23,KSD,Harpodon Nehereus,,0.0
2022-23,TVPM,Saurida & Saurus,,230.0
2022-23,KLM,Saurida & Saurus,,5242.0
2022-23,ALP,Saurida & Saurus,,0.0
2022-23,EKM,Saurida & Saurus,,4768.0
2022-23,TCR,Saurida & Saurus,,3.0
