Sl. No.,Species,REGION NO. 57 - INDIAN OCEAN EAST - A.P.,REGION NO. 57 - INDIAN OCEAN EAST - Orissa,REGION NO. 57 - INDIAN OCEAN EAST - T.N.,REGION NO. 57 - INDIAN OCEAN EAST - W.B.,REGION NO. 57 - INDIAN OCEAN EAST - A & N Islands,REGION NO. 57 - INDIAN OCEAN EAST - Puducherry,REGION NO. 57 - INDIAN OCEAN EAST - Total,REGION NO. 51 - INDIAN OCEAN WEST - Gujarat,REGION NO. 51 - INDIAN OCEAN WEST - Karnataka,REGION NO. 51 - INDIAN OCEAN WEST - Kerala,REGION NO. 51 - INDIAN OCEAN WEST - Maharashtra,REGION NO. 51 - INDIAN OCEAN WEST - Goa,REGION NO. 51 - INDIAN OCEAN WEST - Lakshadweep,REGION NO. 51 - INDIAN OCEAN WEST - Daman & Diu,REGION NO. 51 - INDIAN OCEAN WEST - Total,Total for India
1,"Catfishes (Wallago attu, pangasius )",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0
2,Hilsa Ilisha (Tenualosa),3109,2978,12,16523,301,24,22947,3568,13566,NA,1649,3995,NA,524,23302,46249
3,Flat Fish,3290,1527,8620,0,28,1176,14641,0,NA,NA,7437,NA,NA,132,7569,22210
4,Bregmaceros,2000,NA,2219,0,NA,377,4596,68080,100,NA,547,NA,NA,NA,68727,73323
5,Harpodon Neherus,3350,1570,NA,11390,NA,311,16621,26911,2425,181,51190,1545,NA,515,82767,99388
6,Sea Catfishes,6423,6878,4438,21072,198,793,39802,0,4494,NA,14323,NA,NA,1423,20240,60042
7,Lizard Fishes,838,NA,1195,0,9,NA,2042,3786,603,167,1494,NA,NA,14,6064,8106
8,Muraenesox spp.. (Eels),5503,1268,25,207,NA,73,7076,0,NA,3416,1018,NA,NA,39,4473,11549
9,Lactarius (Parava),2875,NA,201,0,518,416,4010,0,3528,5208,2261,1012,NA,NA,12009,16019
10,Leiognathus (Silver Bellies),4338,2652,34053,490,3060,1564,46157,165551,4367,8721,808,1448,NA,59,180954,227111
11,Sciaenidae (Croackers),10313,10271,13570,27236,1014,642,63046,0,NA,NA,17247,572,NA,3015,20834,83880
12,Upeneus spp.. (Goat Fish),3555,0,15172,284,11,0,19022,18613,971,29960,9411,NA,70,NA,59025,78047
13,Lates Sp. Lutjanus (Perches),7426,4763,27656,10627,4010,1642,56124,0,172,NA,476,NA,275,1311,2234,58358
14,Hemirhamphus spp.. (Half Beaks),1850,NA,2603,330,242,306,5331,0,77,NA,432,NA,NA,24,533,5864
15,Exocoetus (Flying Fish),251,NA,4182,0,0,468,4901,0,2220,2056,0,2820,15,4,7115,12016
16,Sphyraena spp. (Barracudas),1339,NA,3394,0,2616,770,8119,5433,570,1620,0,88,222,11,7944,16063
17,Mugilidae (Mullets),16401,5778,2731,5577,1764,1075,33326,3165,45,67,273,NA,NA,129,3679,37005
18,Polynemidae (Indian Salmon),2899,NA,2006,1303,311,360,6879,0,20808,26914,1719,NA,NA,369,49810,56689
19,Caranax spp.. (Kala Bangada),3109,NA,14555,2226,0,1550,21440,0,NA,NA,7209,NA,NA,400,7609,29049
20,Trachinotus spp..,927,NA,5590,0,0,0,6517,10890,6847,20379,0,655,NA,257,39028,45545
21,Carangidae (Bangada),1882,4421,0,8100,3215,707,18325,0,851,9411,0,978,NA,1058,12298,30623
22,Stromatidae (Butter Fish),4104,7136,2219,6800,0,NA,20259,0,98436,152071,9919,23120,NA,1072,284618,304877
23,Sardinella Indian Oil Sardine,10077,7169,34139,6380,0,1869,59634,10941,5492,32034,48363,NA,NA,89,96919,156553
24,Engraulidae (Anchovies),11700,3432,17514,6500,2402,671,42219,10958,5766,14976,20589,4070,NA,2641,59000,101219
25,Other Clupeids,9870,11485,24793,5470,3458,909,55985,6962,400,247,1154,62,NA,421,9246,65231
26,Chirocentrus spp.,1114,1983,8833,0,0,378,12308,0,NA,NA,2809,376,NA,253,3438,15746
27,Wahoo,318,NA,0,0,NA,NA,318,0,NA,NA,0,NA,106,0,106,424
28,Spanish Mackerels,7184,NA,0,0,NA,NA,7184,0,89,44510,0,NA,NA,521,45120,52304
29,King Mackerel (Indo-Pacific),2972,NA,0,0,NA,NA,2972,0,NA,NA,0,NA,NA,237,237,3209
30,Struooed Seerfish (Thazard Cirrus),2332,NA,0,0,NA,NA,2332,11409,5120,2510,8690,1844,NA,0,29573,31905
31,Seer Fish Scomberomorus spp.,7376,3282,11611,240,867,2080,25456,0,1213,NA,NA,NA,NA,166,1379,26835
32,Auxis Thazard Firgate & Bullet Tuna,4553,NA,0,NA,NA,1838,6391,0,NA,NA,3966,NA,258,307,4531,10922
33,Euthynnus Affinis (Kawa Kawa),3162,1134,0,NA,0,NA,4296,0,96,NA,NA,NA,1244,213,1553,5849
34,Katsuwonus Pelamis (Skipjack Tuna),2870,NA,0,NA,74,NA,2944,0,NA,11920,NA,NA,4020,50,15990,18934
35,Thunnus Tonggol (Long Tail Tuna),3692,NA,0,NA,0,NA,3692,0,105,NA,NA,NA,NA,112,217,3909
36,Istiophoridae (Marlin Sailfish),2135,NA,0,NA,364,NA,2499,0,0,NA,NA,3801,NA,22,3823,6322
37,Scombridae (Tuna Like Fishes),1628,1498,7215,0,1947,NA,12288,60650,13721,NA,0,49,NA,44,74464,86752
38,Trichiuridae (Hair Tails),9027,5536,8601,4570,0,NA,27734,0,30273,NA,24073,22128,NA,4169,80643,108377
39,Rastelliger Ranagueta Indian Macker,14750,NA,12418,10412,0,2423,40003,11454,2828,2909,31118,732,NA,357,49398,89401
40,"Elasmobranches (Shark, Rays, Skates)",16820,4359,9089,8382,3615,1047,43312,142603,7823,116676,8718,NA,546,495,276861,320173
41,Other Marine Fishes,24298,14966,27724,13795,0,0,80783,9881,18127,47007,34009,NA,759,0,109783,190566
42,Decapods - (a) Penaeid Prawn,16701,8437,32090,8448,490,2268,68434,29946,2557,1679,37515,8008,NA,469,80174,148608
43,Decapods - (b) Non-Penaeid Prawn,9649,2210,8577,3396,184,747,24763,7167,2820,394,62785,NA,NA,142,73308,98071
44,Decapods - (c) Other Crust Crab,7801,NA,0,0,0,NA,7801,0,NA,NA,288,NA,NA,15,303,8104
45,Natanian Decapods,20,NA,0,0,0,NA,20,0,1139,4514,NA,1236,NA,14,6903,6923
46,Marine Crust Crab,475,2027,28890,263,723,NA,32378,32493,16192,14054,1956,1012,NA,190,65897,98275
47,Cephalopods - (a) Squid & Cuttle Fish,4613,1613,6572,20,17,NA,12835,663,NA,NA,11223,49,NA,520,12455,25290
48,Cephalopods - (b) Other Molluscs,1329,16,0,0,0,1297,2642,6109,NA,NA,NA,NA,NA,0,6109,8751
49,Thunnus albacares (Yellowfin tuna),1603,NA,NA,160,96,NA,1859,NA,14,NA,NA,NA,5630,41,5685,7544
50,Thunnus obesus (Bigeye tuna),1109,NA,NA,NA,0,NA,1109,NA,28,NA,NA,NA,NA,87,115,1224
51,Istiophorus platypterus (Indo-Pacific sailfish),34,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,0,34
52,Xiphias gladius (Swordfish),9,NA,NA,NA,156,NA,165,NA,2,NA,NA,NA,NA,NA,2,167
53,Panaeus monodon (Giant tiger prawn),8068,NA,NA,NA,NA,NA,8068,NA,32,NA,NA,NA,NA,NA,32,8100
54,Panaeus spp (Panaeus shrimps nei),20589,NA,NA,NA,NA,NA,20589,NA,NA,NA,NA,NA,NA,NA,0,20589
55,Euphausia superba (Antarctic Krill),0,NA,NA,NA,NA,NA,0,NA,18191,NA,NA,NA,NA,NA,18191,18191
56,Crustacea (Marine crustaceans),0,NA,683,NA,NA,1331,2014,NA,NA,NA,NA,NA,NA,NA,0,2014
57,Rana spp (Frogs),18,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,0,18
58,Ascidiacea (Sea squirts),9,NA,NA,NA,NA,NA,9,NA,55271,NA,NA,6605,NA,NA,61876,61885
59,Unspecified,20353,NA,256,0,2990,10949,34548,NA,NA,NA,9015,NA,NA,NA,9015,43563
60,Deep Sea Fishing Sector @,1372,NA,NA,NA,NA,NA,1372,NA,NA,NA,NA,NA,NA,NA,0,1372
61,Misc.,0,NA,43289,NA,NA,NA,43289,NA,NA,NA,NA,NA,NA,NA,0,43289
Total,Total,315412,118389,426735,180201,34680,40061,1115478,647233,347379,553601,433684,86205,13145,21931,2103178,3218656
